elapsed.time,key_resp.keys,key_resp.rt,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,instrLoop.ran,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,instrAXCPTLoop.thisRepN,instrAXCPTLoop.thisTrialN,instrAXCPTLoop.thisN,instrAXCPTLoop.thisIndex,instrAXCPTLoop.ran,AXCPT_resp.keys,AXCPT_resp.corr,AXCPT_resp.rt,AXCPTtrialsLoop.thisRepN,AXCPTtrialsLoop.thisTrialN,AXCPTtrialsLoop.thisN,AXCPTtrialsLoop.thisIndex,AXCPTtrialsLoop.ran,trialNumber,trial,cueType,probeType,trialType,corrResponse,break1.duration,restBreak1_key_resp.keys,restBreak1_key_resp.rt,key_resp_3.keys,key_resp_3.rt,instrNBackLoop.thisRepN,instrNBackLoop.thisTrialN,instrNBackLoop.thisN,instrNBackLoop.thisIndex,instrNBackLoop.ran,NBack_resp_1.keys,NBackTargetLoop.thisRepN,NBackTargetLoop.thisTrialN,NBackTargetLoop.thisN,NBackTargetLoop.thisIndex,NBackTargetLoop.ran,NBack_resp_2.keys,NBack_resp_2.corr,NBackTrialsLoop.thisRepN,NBackTrialsLoop.thisTrialN,NBackTrialsLoop.thisN,NBackTrialsLoop.thisIndex,NBackTrialsLoop.ran,NBack_resp_2.rt,break2.duration,restBreak2_key_resp.keys,restBreak2_key_resp.rt,key_resp_4.keys,key_resp_4.rt,instrSearchLoop.thisRepN,instrSearchLoop.thisTrialN,instrSearchLoop.thisN,instrSearchLoop.thisIndex,instrSearchLoop.ran,key_resp_6.keys,key_resp_6.corr,key_resp_6.rt,searchLoop.thisRepN,searchLoop.thisTrialN,searchLoop.thisN,searchLoop.thisIndex,searchLoop.ran,cond,targetLetter,break3.duration,restBreak3_key_resp.keys,restBreak3_key_resp.rt,key_resp_5.keys,key_resp_5.rt,instrMentRotaLoop.thisRepN,instrMentRotaLoop.thisTrialN,instrMentRotaLoop.thisN,instrMentRotaLoop.thisIndex,instrMentRotaLoop.ran,MROT_resp.keys,MROT_resp.corr,MROT_resp.rt,mentRotTrialsLooop.thisRepN,mentRotTrialsLooop.thisTrialN,mentRotTrialsLooop.thisN,mentRotTrialsLooop.thisIndex,mentRotTrialsLooop.ran,imagefile,orientation,end_resp.keys,end_resp.rt
1055.1737,,,,,,,,CU-MSc-pilot-1-LC,2023-10-19_16h30.06.563,Mental Fatigue Training Session,2020.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,1.0594,3,5,35,0,1,target,T,,,,,,,,,,,,,,,,,,,,,,
1058.4883,,,,,,,,CU-MSc-pilot-1-LC,2023-10-19_16h30.06.563,Mental Fatigue Training Session,2020.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,1,1.8916,3,6,36,9,1,nonTarget,L,,,,,,,,,,,,,,,,,,,,,,
1062.6367,,,,,,,,CU-MSc-pilot-1-LC,2023-10-19_16h30.06.563,Mental Fatigue Training Session,2020.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,1,0.7926,3,7,37,1,1,nonTarget,L,,,,,,,,,,,,,,,,,,,,,,
1065.6896,,,,,,,,CU-MSc-pilot-1-LC,2023-10-19_16h30.06.563,Mental Fatigue Training Session,2020.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,0.7618,3,8,38,2,1,target,T,,,,,,,,,,,,,,,,,,,,,,
1068.7189,,,,,,,,CU-MSc-pilot-1-LC,2023-10-19_16h30.06.563,Mental Fatigue Training Session,2020.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,0,1.2894,3,9,39,7,1,nonTarget,L,,,,,,,,,,,,,,,,,,,,,,
1072.2697,,,,,,,,CU-MSc-pilot-1-LC,2023-10-19_16h30.06.563,Mental Fatigue Training Session,2020.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,1,1.7555,4,0,40,3,1,nonTarget,L,,,,,,,,,,,,,,,,,,,,,,
1076.2853,,,,,,,,CU-MSc-pilot-1-LC,2023-10-19_16h30.06.563,Mental Fatigue Training Session,2020.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,0.8088,4,1,41,6,1,target,T,,,,,,,,,,,,,,,,,,,,,,
1079.3618,,,,,,,,CU-MSc-pilot-1-LC,2023-10-19_16h30.06.563,Mental Fatigue Training Session,2020.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,1,0.7682,4,2,42,7,1,nonTarget,L,,,,,,,,,,,,,,,,,,,,,,
1082.3772,,,,,,,,CU-MSc-pilot-1-LC,2023-10-19_16h30.06.563,Mental Fatigue Training Session,2020.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,1,0.5916,4,3,43,9,1,nonTarget,L,,,,,,,,,,,,,,,,,,,,,,
1085.2162,,,,,,,,CU-MSc-pilot-1-LC,2023-10-19_16h30.06.563,Mental Fatigue Training Session,2020.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,0.5653,4,4,44,8,1,target,T,,,,,,,,,,,,,,,,,,,,,,
1088.0418,,,,,,,,CU-MSc-pilot-1-LC,2023-10-19_16h30.06.563,Mental Fatigue Training Session,2020.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,0,0.7795,4,5,45,1,1,nonTarget,L,,,,,,,,,,,,,,,,,,,,,,
